Date,Mention_Count,Mention_Rank,Sentiment_Score,Close,Volume
2021-01-06,124.0,20.0,-0.01364,12.58140754699707,580424000.0
2021-01-07,65.0,29.0,0.17463,13.308992385864258,461480000.0
2021-01-08,41.0,37.0,0.01392,13.24192237854004,292528000.0
2021-01-09,67.0,8.0,0.11293,,
2021-01-10,29.0,28.0,0.02733,,
2021-01-11,100.0,20.0,0.03951,13.585768699645996,518344000.0
2021-01-12,58.0,36.0,0.0107,13.449376106262209,291476000.0
2021-01-13,25.0,68.0,0.17978,13.496251106262209,210028000.0
2021-01-14,49.0,51.0,0.03279,13.16562271118164,283120000.0
2021-01-15,41.0,39.0,0.0701,12.825766563415527,277780000.0
2021-01-16,19.0,17.0,0.21831,,
2021-01-17,13.0,31.0,0.21848,,
2021-01-18,9.0,69.0,0.13802,,
2021-01-19,27.0,56.0,0.11825,12.991081237792969,226188000.0
2021-01-20,26.0,63.0,-0.0928,13.3306884765625,258572000.0
2021-01-21,48.0,36.0,0.03915,13.831120491027832,337780000.0
2021-01-22,21.0,64.0,0.00015,13.676527976989746,246820000.0
2021-01-23,8.0,68.0,0.30009,,
2021-01-24,3.0,67.0,0.0129,,
2021-01-25,10.0,100.0,-0.03856,13.61743450164795,251112000.0
2021-01-26,9.0,130.0,0.13248,13.400006294250488,163980000.0
2021-01-27,16.0,150.0,0.28908,12.88386344909668,371272000.0
2021-01-28,5.0,262.0,0.09728,13.016764640808104,228316000.0
2021-01-29,3.0,255.0,0.0342,12.955673217773438,271552000.0
2021-01-30,4.0,90.0,0.31943,,
2021-01-31,20.0,59.0,0.07714,,
2021-02-01,21.0,97.0,0.07975,13.202277183532717,217204000.0
2021-02-02,17.0,119.0,0.35373,13.52118682861328,220440000.0
2021-02-03,13.0,133.0,0.20106,13.49500560760498,245408000.0
2021-02-04,11.0,45.0,-0.02709,13.62840461730957,201340000.0
2021-02-05,14.0,62.0,0.17006,13.55534553527832,169152000.0
2021-02-06,1.0,129.0,0.6249,,
2021-02-07,3.0,76.0,0.3667,,
2021-02-08,89.0,22.0,0.05092,14.400873184204102,434624000.0
2021-02-09,26.0,67.0,0.14746,14.225833892822266,287560000.0
2021-02-10,71.0,23.0,0.10127,14.725520133972168,485352000.0
2021-02-11,101.0,24.0,0.04307,15.210742950439451,450828000.0
2021-02-12,94.0,21.0,0.04914,14.922003746032717,374756000.0
2021-02-13,23.0,15.0,0.16593,,
2021-02-14,23.0,13.0,0.11283,,
2021-02-15,23.0,26.0,0.00127,,
2021-02-16,39.0,45.0,0.0873,15.290035247802734,321960000.0
